Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
3,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
9,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
10,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
14,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
15,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
20,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
21,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
22,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1309,666
25,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.6,1560,4,1917,323
27,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1227,585,1310,670
27,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,0,person,0.55,986,6,1399,551
29,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.34,1229,586,1309,666
32,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
36,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
38,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1309,666
61,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
62,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
63,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
64,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
65,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
66,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
68,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1308,665
69,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1308,665
70,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,665
71,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1308,665
72,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1308,665
73,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
74,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
92,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
94,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1309,666
96,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1308,666
153,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
154,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
196,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
197,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
198,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
199,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
200,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
201,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.53,1371,410,1625,681
202,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,29,frisbee,0.28,1089,541,1167,610
202,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,0,person,0.62,1079,452,1344,745
203,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.34,1228,585,1309,666
204,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,29,frisbee,0.27,1230,582,1309,666
204,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,585,1309,666
204,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,29,frisbee,0.31,1091,535,1167,610
204,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.47,729,496,934,682
205,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.72,519,465,773,668
206,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
206,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.66,429,446,669,616
207,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
207,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.78,305,499,491,628
208,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
208,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.62,158,471,371,594
209,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
209,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,14,bird,0.69,114,440,271,581
210,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
229,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1227,585,1310,669
231,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
232,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1227,585,1311,669
241,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1227,585,1311,669
256,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
257,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
258,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.25,1229,586,1309,666
259,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
260,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1309,666
261,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
262,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
263,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
269,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1309,666
276,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
281,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
282,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1309,666
283,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.26,1229,586,1308,666
284,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
285,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
290,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.27,1229,586,1308,666
297,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1308,666
298,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
299,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.28,1229,586,1308,666
300,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1308,666
301,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.32,1229,586,1309,666
302,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.31,1229,586,1309,666
303,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
304,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
305,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.3,1229,586,1309,666
306,/Volumes/T7/Encl4_03152024/GoPro1/GoPro1_Encl4_03152024_1.MP4,41,cup,0.29,1229,586,1309,666
