Frame,Path,Extra,Label,Confidence,xmin,ymin,xmax,ymax
1,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,74,282,420
2,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,2,75,280,417
3,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,2,79,286,451
4,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,2,81,285,450
6,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.39,1,73,282,415
7,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,73,283,421
8,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.29,1,79,285,447
9,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.26,1,77,287,449
10,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,1,75,283,406
11,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.27,1,75,287,449
13,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.26,0,71,285,422
15,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.31,2,74,286,450
16,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.3,1,73,287,449
17,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.36,1,74,287,452
18,/Volumes/T7/Encl4_03152024/GoPro3/GoPro3_Encl4_03152024_1.MP4,73,book,0.33,2,75,288,451
